Time (s),Latitude (°),Longitude (°),Height (m)
394.1110521,36.91928317,140.8187366,63.85247716
395.1110495,36.91930672,140.8187407,63.85238121
396.1110469,36.91933128,140.8187593,63.85237804
397.1110442,36.91935278,140.8187949,63.8525034
398.1110415,36.91936384,140.8188433,63.85276944
399.1110389,36.91936799,140.8188992,64.85312083
400.1110364,36.91937302,140.8189652,63.85353597
401.1110338,36.91937797,140.8190313,63.85395154
402.1110311,36.91937914,140.819095,63.8543711
403.1110284,36.91938434,140.8191535,63.85473494
404.1110257,36.91938794,140.8192052,63.85506172
405.1110231,36.91939746,140.8192524,63.85532743
406.1110204,36.91941585,140.8192864,63.85545883
407.1110178,36.91944289,140.8193032,63.85543037
408.1110151,36.91947495,140.8193033,63.85526364
409.1110125,36.91951254,140.8192992,63.85504005
410.1110098,36.91955701,140.8192901,63.85474699
411.111007,36.91961404,140.8192841,62.85440962
412.1110043,36.91966853,140.8192759,63.85407047
413.1110015,36.91971584,140.8192686,64.85377488
414.1109987,36.91976835,140.8192618,64.85345497
415.1109959,36.91981953,140.8192563,64.85315159
416.1109931,36.91986395,140.8192504,64.85288005
417.1109903,36.91990544,140.8192462,64.85263557
418.1109875,36.91993641,140.8192509,65.85250534
419.1109847,36.91996227,140.8192672,65.8524796
420.1109819,36.91997924,140.819308,65.85266371
421.1109792,36.91999144,140.8193576,65.85293097
422.1109763,36.91999999,140.8194174,65.85328612
423.1109736,36.92000615,140.8194815,65.85368228
424.1109708,36.92001114,140.8195477,65.854098
425.110968,36.92001566,140.8196103,65.85449261
426.1109653,36.92001927,140.8196759,65.85491218
427.1109626,36.92002199,140.8197351,65.85529323
428.1109597,36.92002379,140.8197988,65.85570933
429.110957,36.92002648,140.8198355,66.85594056
430.1109542,36.92002794,140.8198526,65.85604712
431.1109514,36.92002803,140.8198652,65.85613066
432.1109486,36.92002639,140.8198777,65.85622261
433.1109458,36.92002212,140.8198891,65.85632163
434.110943,36.92001495,140.8198967,65.85640943
435.1109402,36.92000753,140.8199036,65.85649406
436.1109374,36.9199994,140.8199142,66.85660761
437.1109345,36.91998599,140.8199221,66.85673025
438.1109317,36.91997166,140.8199248,66.85682355
439.1109288,36.91994974,140.8199292,67.85696709
440.1109259,36.91993486,140.8199302,67.85705148
441.110923,36.91991307,140.8199338,68.85718933
442.1109201,36.91989366,140.8199326,68.85728222
443.1109173,36.91987254,140.8199336,68.85739977
444.1109144,36.91985628,140.8199328,68.85747906
445.1109114,36.91984396,140.8199295,68.85752099
446.1109086,36.91982841,140.8199162,69.85751368
447.1109056,36.91982116,140.8199033,69.8574653
448.1109027,36.91982384,140.8198887,69.85735387
449.1108998,36.91982711,140.8198797,69.85727633
