Time (s),Yaw (°),Pitch (°),Roll (°)
323.1112387,4.485652021,-3.113641992,-1.239781935
324.1112362,1.193077661,-3.078247035,-13.25175333
325.1112336,0.6262957859,-5.944799388,-25.58456774
326.111231,-1.176213821,-6.727307213,-43.74473299
327.1112285,-1.169820576,-4.382800806,-61.3630471
328.1112259,-2.543886814,1.308944311,-74.33678591
329.1112233,-2.930857911,5.078368141,-82.12156663
330.1112207,-3.385658024,4.89378884,-82.55860494
331.1112182,-3.456958674,5.295570036,-82.79919729
332.1112156,-4.463916884,5.379938378,-84.25942011
333.1112131,-7.711975961,7.907842471,-82.9319547
334.1112104,-7.95294352,16.51086648,-76.34621849
335.1112079,-5.863149481,19.64754739,-55.95874181
336.1112053,-4.47420389,18.59155411,-29.70973743
337.1112027,0.1323617679,17.85170118,-6.772329893
338.1112002,1.97440867,10.7596209,10.49760285
339.1111975,1.028590366,7.106161898,12.89082936
340.111195,-2.649227852,7.662155734,16.59117186
341.1111924,-5.598302349,8.850213527,36.78734
344.1111844,7.772062767,16.38324975,64.67699751
345.1111818,10.94686865,17.24924197,97.8725948
346.1111791,9.830025219,9.049594042,116.4583747
347.1111765,8.737087249,5.52883951,116.4149376
348.1111737,7.437110312,5.216451672,115.8534305
349.1111711,6.189086776,4.6667029,116.3757825
350.1111685,4.236929053,5.082664145,118.6054661
351.1111658,2.924166763,5.490883638,121.7069378
352.1111631,2.979015814,0.0312341228,117.0566051
353.1111606,2.783292651,-1.515723925,106.0660979
354.1111578,3.959368332,-2.134852511,94.81318767
355.1111552,4.813201014,-2.013011393,80.70538992
356.1111526,4.433520412,-1.4243985,67.44853521
357.11115,6.345876669,-1.899771881,53.76593298
358.1111474,6.133273009,-0.8480040715,41.84317559
359.1111447,5.957936678,-2.636123937,28.53332958
360.1111421,5.959675223,-3.16845473,15.01176692
361.1111394,5.764131095,-3.600617909,0.9134501086
362.1111368,5.288593122,-5.728943121,-15.42352451
363.1111342,5.547097092,-7.365921173,-32.444089
364.1111315,5.158373864,-4.490280819,-51.9396246
365.1111289,5.016565408,6.670066981,-60.64629106
366.1111263,4.472586479,14.15260222,-57.98710346
367.1111237,5.410524189,17.50822221,-45.17983466
368.111121,7.738755942,19.51687301,-26.92701725
369.1111183,8.100096526,18.3629477,-7.557381325
370.1111157,8.257178439,18.86245747,14.25653023
371.1111131,9.025645535,17.61128558,36.75165747
372.1111105,7.215536872,11.97408721,52.59176924
373.1111078,6.403988029,6.268381992,56.08491464
374.1111052,5.974285813,0.5328919004,52.33386359
375.1111025,5.830485871,-2.230163569,45.29002375
376.1110999,6.023977482,-2.832234877,34.55339976
377.1110973,5.856441828,-4.636778718,22.33117558
378.1110947,5.823144395,1.592509391,14.17135613
379.111092,5.928569022,3.869841414,9.281698133
380.1110893,5.33454852,4.111713179,6.228161347
381.1110866,4.916243593,4.181205804,5.230690578
382.111084,5.402650106,4.747567201,4.300020302
383.1110813,5.197164944,6.419222308,5.110139034
384.1110786,4.437831972,4.388304785,5.082466771
385.1110759,4.392247168,5.000053556,5.263811004
386.1110733,2.401871159,4.600455233,3.816662767
387.1110706,0.8100535992,3.338791524,2.587691516
388.111068,0.09432904677,3.368987095,0.8830331945
389.1110654,0.5724566945,4.076904383,-0.751167573
390.1110627,-0.9289685271,5.774467753,-3.008553653
391.1110601,-3.904362511,5.085806394,-4.713761926
392.1110574,-8.490089008,6.138734859,-6.063853659
393.1110547,-10.46736623,5.126749535,-6.840437063
394.1110521,-5.984712917,0.1054325727,-10.54885307
395.1110495,-4.227891186,0.2314111458,-24.27420711
396.1110469,0.7980812824,-0.5727116759,-42.95359663
397.1110442,0.6047881039,-2.066592977,-66.44267176
398.1110415,1.806967922,-0.3735470994,-81.0728911
399.1110389,2.736266051,3.395348739,-88.21008879
400.1110364,-0.4877894971,5.097419774,-91.72000818
401.1110338,-2.23008024,5.796206608,-94.61701614
402.1110311,-5.11806288,6.886472899,-97.27329101
403.1110284,-1.755804741,8.168243787,-97.61508025
404.1110257,-2.909475522,12.67908197,-92.97775939
405.1110231,-2.96462538,15.75642049,-82.74788947
406.1110204,-0.5637651972,16.56638644,-62.77770472
407.1110178,-0.294850211,15.23933111,-43.93578542
408.1110151,4.472389054,12.51011382,-21.006707
409.1110125,4.362970467,9.151262914,-8.06429602
410.1110098,3.143890945,7.056894524,-3.545210665
411.111007,0.1987985794,6.839107032,-3.787850291
412.1110043,-1.450636824,6.22488955,-1.944823171
413.1110015,-2.269639358,5.655306388,-5.699484632
414.1109987,-1.770927422,5.149814948,-2.882997123
415.1109959,-1.701390958,6.144957762,-3.550449239
416.1109931,-3.854693858,6.573679852,-6.794790386
417.1109903,-7.283357629,1.717404053,-8.716031679
418.1109875,-2.884355341,-1.752352413,-20.15492985
419.1109847,0.03448306709,-2.177158498,-44.60945534
420.1109819,2.72850184,-2.963157105,-67.2153577
421.1109792,3.306352467,-1.699509164,-83.03427853
422.1109763,2.802624867,3.77377213,-88.19758873
423.1109736,0.2316399993,5.497220907,-91.35647326
424.1109708,-0.5028323953,5.884077571,-92.66788559
425.110968,-2.022841156,6.977112764,-94.02396649
426.1109653,-2.191972348,6.28242393,-94.20179102
427.1109626,-2.570909744,5.482326348,-95.71764028
428.1109597,-11.45631687,6.923816762,-102.2992903
429.110957,-11.29831904,6.790102929,-105.4347624
430.1109542,-6.616910049,6.206634966,-100.029942
431.1109514,-2.765488227,4.874168514,-99.27030682
432.1109486,-0.9130868286,3.859373746,-106.3917885
433.1109458,-3.759721639,5.001393069,-119.5534057
434.110943,-2.971186274,5.982500155,-132.0197363
435.1109402,-1.863884138,5.00428057,-139.2615715
436.1109374,1.604887023,4.638391258,-144.2146495
437.1109345,2.391647975,4.27359247,-155.6508653
438.1109317,2.339251837,5.832800073,-158.6039136
439.1109288,1.237192051,6.46600984,-164.7450543
440.1109259,-0.02025122945,6.894025912,-161.1682468
441.110923,-2.035055896,7.643770883,-161.8455702
442.1109201,-3.218978891,6.912642179,-169.1777677
443.1109173,-3.125897307,5.774318661,-177.421345
444.1109144,-2.956492528,4.154671211,171.9851482
445.1109114,-1.219248704,3.865182216,162.1502726
446.1109086,-2.785483777,1.067540644,133.6339875
447.1109056,-3.938695838,1.428034141,98.51470975
448.1109027,-4.078442728,3.296992485,72.8073856
449.1108998,-6.477555264,5.813356161,52.01839818
